time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-01T15:39:24.510Z,-20.3898,94.6005,10,4.9,mb,,114,17.889,0.69,us,us2000k8n1,2019-04-01T16:45:12.040Z,"South Indian Ocean",earthquake,7.8,1.9,0.088,40,reviewed,us,us
2019-04-01T14:43:27.510Z,39.0343,-118.9044,5.9,3.6,ml,25,86.18,0.504,0.1582,nn,nn00681228,2019-04-02T14:44:47.666Z,"23km ENE of Yerington, Nevada",earthquake,,1.5,0.23,12,reviewed,nn,nn
2019-04-01T14:25:58.070Z,-6.0394,131.6534,74.51,4.7,mb,,115,1.962,0.8,us,us2000k8jl,2019-04-01T16:51:23.040Z,"128km WSW of Tual, Indonesia",earthquake,7,6.6,0.096,33,reviewed,us,us
2019-04-01T14:05:19.880Z,-42.787,-82.6256,10,4.9,mb,,187,6.584,0.46,us,us2000k8j6,2019-04-01T16:48:34.040Z,"West Chile Rise",earthquake,7.3,1.9,0.059,90,reviewed,us,us
2019-04-01T13:56:29.867Z,58.7817,-137.619,0.1,2.9,ml,,,,0.91,ak,ak01946pza6g,2019-04-01T21:59:09.439Z,"116km WNW of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-04-01T13:44:48.850Z,9.467,-82.6606,10,4.7,mb,,70,0.669,0.76,us,us2000k8iz,2019-04-02T04:18:10.250Z,"6km SW of Guabito, Panama",earthquake,1.7,1.9,0.058,91,reviewed,us,us
2019-04-01T12:46:50.238Z,66.3168,-157.6202,15.3,2.6,ml,,,,0.82,ak,ak01946pbqxv,2019-04-01T12:56:10.512Z,"73km SSW of Kobuk, Alaska",earthquake,,3.8,,,automatic,ak,ak
2019-04-01T11:09:53.140Z,12.6086,139.2285,15.94,4.9,mb,,80,16.914,1,us,us2000k8h9,2019-04-01T11:26:34.040Z,"State of Yap, Federated States of Micronesia",earthquake,11.6,2.4,0.046,147,reviewed,us,us
2019-04-01T10:53:35.680Z,33.5653,45.7786,10,4.4,mb,,72,1.548,0.97,us,us2000k8gu,2019-04-01T11:07:33.040Z,"29km SE of Mandali, Iraq",earthquake,8.3,1.9,0.096,31,reviewed,us,us
2019-04-01T10:20:10.710Z,18.093,-67.3425,51,2.56,md,8,223,0.2485,0.26,pr,pr2019091011,2019-04-01T18:46:29.566Z,"16km W of Puerto Real, Puerto Rico",earthquake,1.33,1.19,0.35,8,reviewed,pr,pr
2019-04-01T10:19:49.610Z,-17.8591,-66.966,280.83,4.7,mb,,34,1.918,1.26,us,us2000k8g3,2019-04-01T10:38:52.678Z,"23km NE of Oruro, Bolivia",earthquake,8.2,8.2,0.032,291,reviewed,us,us
2019-04-01T10:16:14.430Z,33.6698,45.7448,10,4.9,mb,,72,1.443,0.96,us,us2000k8g1,2019-04-01T10:59:50.521Z,"19km ESE of Mandali, Iraq",earthquake,8,1.9,0.043,167,reviewed,us,us
2019-04-01T10:07:24.170Z,33.5771,45.818,10,5.2,mww,,47,1.538,1.33,us,us2000k8fr,2019-04-01T20:03:01.164Z,"31km SE of Mandali, Iraq",earthquake,7,1.8,0.073,18,reviewed,us,us
2019-04-01T08:54:54.630Z,19.057,-67.196,8,3.22,md,22,217,0.5956,0.86,pr,pr2019091006,2019-04-01T18:46:09.860Z,"63km N of San Antonio, Puerto Rico",earthquake,2.16,3.03,0.32,18,reviewed,pr,pr
2019-04-01T08:46:40.750Z,18.5443,-67.5073,15,2.56,md,6,317,0.5599,0.31,pr,pr2019091010,2019-04-01T18:45:52.910Z,"35km NW of Rincon, Puerto Rico",earthquake,2.99,4.21,0.34,5,reviewed,pr,pr
2019-04-01T08:33:37.250Z,19.1341,-65.989,9,3.15,md,16,293,0.8305,0.39,pr,pr2019091005,2019-04-01T18:45:31.614Z,"74km N of San Juan, Puerto Rico",earthquake,8.51,11.9,0.39,16,reviewed,pr,pr
